participant_id,theme,n_sentences,n_participants,mean_score,median_score,std_score,pct_positive,pct_neutral,pct_negative
PUN5JW,Computer Music,1.0,1.0,0.6124,0.6124,,100.0,0.0,0.0
33BW0G,Computer Music,8.0,1.0,0.5950124999999999,0.6884,0.3466510243437504,87.5,12.5,0.0
OA8J4N,Computer Music,3.0,1.0,0.5942,0.529,0.11492732486227981,100.0,0.0,0.0
P7TX2P,Computer Music,5.0,1.0,0.58602,0.5719,0.23239196844985843,100.0,0.0,0.0
L0CULX,Computer Music,4.0,1.0,0.56415,0.68405,0.4156466006918217,75.0,25.0,0.0
X6YZK0,Computer Music,6.0,1.0,0.55295,0.65815,0.2734322128060262,100.0,0.0,0.0
J0QRGC,Computer Music,4.0,1.0,0.547925,0.51695,0.19735398610956234,100.0,0.0,0.0
IQLWA6,Computer Music,5.0,1.0,0.5180400000000001,0.7579,0.5507371360277061,80.0,0.0,20.0
IAFS52,Computer Music,5.0,1.0,0.5153000000000001,0.7351,0.47455040301321,80.0,0.0,20.0
6R5ITB,Computer Music,8.0,1.0,0.5139,0.4895,0.32324046776355214,87.5,12.5,0.0
TU93WC,Computer Music,11.0,1.0,0.5113454545454545,0.6124,0.319680106868214,81.81818181818183,18.181818181818183,0.0
2IR3MC,Computer Music,7.0,1.0,0.49425714285714284,0.7178,0.46741991419972273,85.71428571428571,0.0,14.285714285714285
PF65TG,Computer Music,8.0,1.0,0.493325,0.60595,0.44018192261836475,75.0,12.5,12.5
Y1I6D6,Computer Music,2.0,1.0,0.48495,0.48495,0.38671669863092284,100.0,0.0,0.0
KI6KAH,Computer Music,18.0,1.0,0.48103888888888885,0.45625000000000004,0.2802873633358301,88.88888888888889,11.11111111111111,0.0
9772KI,Computer Music,4.0,1.0,0.47755000000000003,0.56925,0.35397149131909855,75.0,25.0,0.0
PYIPEW,Computer Music,10.0,1.0,0.45381,0.52545,0.45794563833130525,80.0,10.0,10.0
W5T7LB,Computer Music,7.0,1.0,0.44731428571428566,0.4939,0.5200285614866791,71.42857142857143,14.285714285714285,14.285714285714285
YP35AR,Computer Music,6.0,1.0,0.4422333333333333,0.52695,0.3555195447041789,83.33333333333334,0.0,16.666666666666664
1ZWUFF,Computer Music,3.0,1.0,0.43019999999999997,0.3612,0.4685262425947985,66.66666666666666,33.33333333333333,0.0
XRONEG,Computer Music,8.0,1.0,0.4287125,0.58115,0.42364459982901437,75.0,12.5,12.5
JAC6MU,Computer Music,7.0,1.0,0.42795714285714287,0.5994,0.35441387697221477,85.71428571428571,0.0,14.285714285714285
06ECDB,Computer Music,2.0,1.0,0.42755,0.42755,0.09383306986345484,100.0,0.0,0.0
IOEYMP,Computer Music,8.0,1.0,0.422925,0.49350000000000005,0.39565175073180564,87.5,0.0,12.5
XV0S8C,Computer Music,9.0,1.0,0.41867777777777776,0.4588,0.3922937285306055,77.77777777777779,11.11111111111111,11.11111111111111
35A4QY,Computer Music,15.0,1.0,0.36084666666666665,0.4779,0.367147105330249,60.0,33.33333333333333,6.666666666666667
R5EXRJ,Computer Music,10.0,1.0,0.36052,0.38155,0.24291242500584903,90.0,0.0,10.0
NX3IYL,Computer Music,6.0,1.0,0.35033333333333333,0.4967,0.42715600272812115,66.66666666666666,16.666666666666664,16.666666666666664
Q71QCH,Computer Music,9.0,1.0,0.32972222222222225,0.3976,0.4715710014880521,88.88888888888889,0.0,11.11111111111111
IF5UTV,Computer Music,13.0,1.0,0.32803076923076924,0.3612,0.43221926415615985,61.53846153846154,23.076923076923077,15.384615384615385
0M3LDX,Computer Music,11.0,1.0,0.32076363636363636,0.3612,0.3471032563164087,72.72727272727273,9.090909090909092,18.181818181818183
382LOS,Computer Music,12.0,1.0,0.31622500000000003,0.3612,0.2846644120714776,75.0,16.666666666666664,8.333333333333332
P7WEZC,Computer Music,4.0,1.0,0.297725,0.27115,0.3465114464198838,50.0,50.0,0.0
QNJQ2F,Computer Music,2.0,1.0,0.28595,0.28595,0.4043943681605865,50.0,50.0,0.0
X8MNUK,Computer Music,9.0,1.0,0.2768777777777778,0.3612,0.317668478046602,77.77777777777779,11.11111111111111,11.11111111111111
J4J4VY,Computer Music,7.0,1.0,0.2563714285714286,0.4201,0.4597046070187743,57.14285714285714,28.57142857142857,14.285714285714285
X1QQ4F,Computer Music,2.0,1.0,0.2359,0.2359,0.4145059951315542,50.0,0.0,50.0
V1B21E,Computer Music,12.0,1.0,0.21165833333333336,0.15205,0.3553507267688523,50.0,33.33333333333333,16.666666666666664
VD1PLG,Computer Music,10.0,1.0,0.19714000000000004,0.20934999999999998,0.43574326590066514,60.0,20.0,20.0
2MDJD4,Computer Music,9.0,1.0,0.1907333333333333,0.1002,0.5916477457068522,55.55555555555556,0.0,44.44444444444444
XWM6DC,Computer Music,5.0,1.0,0.14135999999999999,0.0,0.31970044260213343,40.0,40.0,20.0
4TPXHQ,Computer Music,3.0,1.0,0.13059999999999997,0.0,0.4139510961454263,33.33333333333333,33.33333333333333,33.33333333333333
1MM3K9,Computer Music,8.0,1.0,0.11582500000000001,0.0,0.4047096904837202,25.0,62.5,12.5
Y9N2G1,Computer Music,2.0,1.0,0.09994999999999998,0.09994999999999998,0.5309664819929786,50.0,0.0,50.0
79TSTS,Computer Music,2.0,1.0,0.064,0.064,0.09050966799187808,50.0,50.0,0.0
OSF8B7,Computer Music,4.0,1.0,-0.09945000000000001,-0.26275000000000004,0.3737038444187233,25.0,0.0,75.0
WXA3LM,Computer Music,2.0,1.0,-0.2551,-0.2551,0.8715798184905384,50.0,0.0,50.0
V4HSKU,Computer Music,1.0,1.0,-0.938,-0.938,,0.0,0.0,100.0
1JVZTM,Music Sharing,3.0,1.0,0.7414999999999999,0.6808,0.1678918401828987,100.0,0.0,0.0
WOGMXV,Music Sharing,25.0,1.0,0.682272,0.6948,0.25390034711805076,92.0,8.0,0.0
W5T7LB,Music Sharing,23.0,1.0,0.6742173913043478,0.8307,0.3909227448116408,91.30434782608695,0.0,8.695652173913043
Z01ABO,Music Sharing,10.0,1.0,0.6469699999999999,0.6466000000000001,0.23471944979296266,100.0,0.0,0.0
XV0S8C,Music Sharing,5.0,1.0,0.63106,0.836,0.3673588000851483,80.0,20.0,0.0
1ZDS4P,Music Sharing,6.0,1.0,0.6303333333333334,0.6124,0.16952363453709535,100.0,0.0,0.0
WXA3LM,Music Sharing,29.0,1.0,0.6131206896551724,0.7579,0.3605189012077991,93.10344827586206,3.4482758620689653,3.4482758620689653
XRONEG,Music Sharing,19.0,1.0,0.6081368421052632,0.7089,0.2855107591094449,89.47368421052632,10.526315789473683,0.0
6R5ITB,Music Sharing,14.0,1.0,0.6037928571428572,0.6124,0.31555785880365467,85.71428571428571,14.285714285714285,0.0
9SZ2DJ,Music Sharing,28.0,1.0,0.6016714285714285,0.70705,0.29848719664475826,92.85714285714286,7.142857142857142,0.0
PYIPEW,Music Sharing,19.0,1.0,0.5973210526315789,0.6808,0.2570944477963678,94.73684210526315,5.263157894736842,0.0
IOEYMP,Music Sharing,8.0,1.0,0.5814874999999999,0.6208,0.16592391059501596,100.0,0.0,0.0
2MDJD4,Music Sharing,9.0,1.0,0.5813444444444444,0.7579,0.3600786168016338,77.77777777777779,22.22222222222222,0.0
35A4QY,Music Sharing,19.0,1.0,0.5784368421052632,0.7184,0.3631417892818273,89.47368421052632,5.263157894736842,5.263157894736842
X6YZK0,Music Sharing,32.0,1.0,0.57641875,0.73115,0.3912889431819555,81.25,15.625,3.125
JAC6MU,Music Sharing,14.0,1.0,0.5760357142857143,0.6851,0.3379276381510894,85.71428571428571,7.142857142857142,7.142857142857142
IQLWA6,Music Sharing,7.0,1.0,0.5744999999999999,0.6705,0.1695023991963929,100.0,0.0,0.0
1MM3K9,Music Sharing,14.0,1.0,0.56605,0.6799999999999999,0.3431834735800393,85.71428571428571,14.285714285714285,0.0
OA8J4N,Music Sharing,13.0,1.0,0.5544692307692308,0.6124,0.3674645229692598,76.92307692307693,23.076923076923077,0.0
NX3IYL,Music Sharing,9.0,1.0,0.5510111111111111,0.5719,0.21906767472886346,100.0,0.0,0.0
62U759,Music Sharing,20.0,1.0,0.5500999999999999,0.6059000000000001,0.3019923264971444,85.0,15.0,0.0
X8MNUK,Music Sharing,15.0,1.0,0.5402666666666668,0.5023,0.25376179681703376,93.33333333333333,6.666666666666667,0.0
IIW3F8,Music Sharing,16.0,1.0,0.53811875,0.58565,0.24265659746165294,93.75,0.0,6.25
J4J4VY,Music Sharing,11.0,1.0,0.5362272727272727,0.4767,0.27250005537947725,90.9090909090909,9.090909090909092,0.0
J0QRGC,Music Sharing,2.0,1.0,0.53255,0.53255,0.30313667709467296,100.0,0.0,0.0
L0CULX,Music Sharing,18.0,1.0,0.5265,0.5298499999999999,0.37499801254375303,94.44444444444444,0.0,5.555555555555555
6759KU,Music Sharing,13.0,1.0,0.5222153846153845,0.5859,0.4135901490730363,84.61538461538461,7.6923076923076925,7.6923076923076925
V4HSKU,Music Sharing,23.0,1.0,0.5215130434782609,0.5196,0.3313384870550848,82.6086956521739,17.391304347826086,0.0
5F2WAZ,Music Sharing,16.0,1.0,0.49339999999999995,0.6379,0.46307209517885367,81.25,12.5,6.25
PJ3JKN,Music Sharing,9.0,1.0,0.46441111111111116,0.4019,0.36408534866307257,88.88888888888889,0.0,11.11111111111111
PF65TG,Music Sharing,11.0,1.0,0.4641727272727273,0.5729,0.42998399991373887,72.72727272727273,18.181818181818183,9.090909090909092
9772KI,Music Sharing,21.0,1.0,0.4626380952380953,0.4201,0.37953645473944986,85.71428571428571,9.523809523809524,4.761904761904762
YP35AR,Music Sharing,22.0,1.0,0.4504409090909091,0.61075,0.4924617380922587,77.27272727272727,9.090909090909092,13.636363636363635
Q71QCH,Music Sharing,11.0,1.0,0.4499909090909091,0.4215,0.3211306850942322,81.81818181818183,18.181818181818183,0.0
V1B21E,Music Sharing,27.0,1.0,0.44942592592592595,0.5499,0.3594402224748415,81.48148148148148,7.4074074074074066,11.11111111111111
VD1PLG,Music Sharing,66.0,1.0,0.4446969696969697,0.4909,0.3790365612443036,74.24242424242425,16.666666666666664,9.090909090909092
R5EXRJ,Music Sharing,57.0,1.0,0.44222982456140353,0.5859,0.3906102981072935,75.43859649122807,15.789473684210526,8.771929824561402
MH2DWX,Music Sharing,17.0,1.0,0.4347529411764706,0.5023,0.32927577560011734,76.47058823529412,17.647058823529413,5.88235294117647
B4A6KD,Music Sharing,33.0,1.0,0.4338242424242424,0.4767,0.3295099590967463,72.72727272727273,24.242424242424242,3.0303030303030303
IAFS52,Music Sharing,8.0,1.0,0.43337499999999995,0.6124,0.4520104194437494,75.0,12.5,12.5
TU93WC,Music Sharing,27.0,1.0,0.4234185185185186,0.4767,0.3310596332954545,74.07407407407408,22.22222222222222,3.7037037037037033
Y1I6D6,Music Sharing,17.0,1.0,0.4200705882352941,0.4404,0.433359003547731,76.47058823529412,17.647058823529413,5.88235294117647
KI6KAH,Music Sharing,35.0,1.0,0.4128657142857143,0.4215,0.3557535307938193,80.0,14.285714285714285,5.714285714285714
0M3LDX,Music Sharing,64.0,1.0,0.4047890625,0.3933,0.3371661797031474,70.3125,25.0,4.6875
